id,init_date,配号来源,用海一级类,用海二级类,用海方式
0,2015-05-01,初始登记,渔业用海,围海养殖用海,"围海养殖"
1,2011-05-01,初始登记,渔业用海,开放式养殖用海,"开放式养殖"
2,2012-05-01,初始登记,渔业用海,开放式养殖用海,"开放式养殖"
3,2016-06-01,初始登记,渔业用海,开放式养殖用海,"开放式养殖"
4,2015-06-01,初始登记,渔业用海,开放式养殖用海,"开放式养殖"
5,2015-02-01,变更登记,渔业用海,开放式养殖用海,"开放式养殖"
6,2012-02-01,变更登记,渔业用海,开放式养殖用海,"开放式养殖"
7,2015-04-01,变更登记,渔业用海,开放式养殖用海,"开放式养殖"
8,2015-04-01,变更登记,渔业用海,围海养殖用海,"非透水构筑物"
9,2016-05-01,变更登记,渔业用海,围海养殖用海,"围海养殖"
10,2014-06-01,变更登记,渔业用海,围海养殖用海,"非透水构筑物"
11,2016-05-01,变更登记,渔业用海,围海养殖用海,"非透水构筑物"
12,2016-05-01,变更登记,渔业用海,围海养殖用海,"非透水构筑物"
13,2016-05-01,变更登记,渔业用海,开放式养殖用海,"开放式养殖"
14,2013-03-01,初始登记,渔业用海,围海养殖用海,"围海养殖"
15,2015-06-01,变更登记,渔业用海,开放式养殖用海,"开放式养殖"
16,2016-04-01,变更登记,渔业用海,开放式养殖用海,"开放式养殖"
17,2014-05-01,变更登记,渔业用海,开放式养殖用海,"开放式养殖"
18,2015-06-01,变更登记,渔业用海,开放式养殖用海,"开放式养殖"
19,2011-02-01,变更登记,渔业用海,开放式养殖用海,"开放式养殖"
20,2014-04-01,变更登记,渔业用海,开放式养殖用海,"开放式养殖"
21,2013-03-01,变更登记,渔业用海,开放式养殖用海,"开放式养殖"
22,2016-06-01,变更登记,渔业用海,开放式养殖用海,"开放式养殖"
23,2015-06-01,初始登记,渔业用海,围海养殖用海,"围海养殖"
24,2016-05-01,变更登记,渔业用海,开放式养殖用海,"开放式养殖"
25,2013-03-01,变更登记,渔业用海,开放式养殖用海,"开放式养殖"
26,2012-06-01,变更登记,渔业用海,开放式养殖用海,"开放式养殖"
27,2013-04-01,变更登记,渔业用海,开放式养殖用海,"开放式养殖"
28,2013-05-01,初始登记,交通运输用海,港口用海,"建设填海造地"
29,2012-06-01,初始登记,交通运输用海,港口用海,"建设填海造地"
30,2014-04-01,初始登记,交通运输用海,港口用海,"建设填海造地"
31,2014-04-01,初始登记,交通运输用海,港口用海,"建设填海造地"
32,2016-05-01,变更登记,渔业用海,开放式养殖用海,"开放式养殖"
33,2014-04-01,变更登记,渔业用海,开放式养殖用海,"开放式养殖"
34,2015-06-01,初始登记,渔业用海,围海养殖用海,"围海养殖"
35,2014-06-01,初始登记,渔业用海,围海养殖用海,"非透水构筑物"
36,2015-05-01,初始登记,渔业用海,围海养殖用海,"非透水构筑物"
37,2010-06-01,初始登记,渔业用海,围海养殖用海,"非透水构筑物"
38,2012-06-01,初始登记,渔业用海,围海养殖用海,"围海养殖"
39,2015-06-01,初始登记,渔业用海,围海养殖用海,"围海养殖"
40,2014-06-01,初始登记,渔业用海,围海养殖用海,"围海养殖"
41,2014-06-01,初始登记,渔业用海,围海养殖用海,"围海养殖"
42,2010-06-01,初始登记,渔业用海,围海养殖用海,"围海养殖"
43,2015-05-01,初始登记,渔业用海,围海养殖用海,"围海养殖"
44,2013-05-01,初始登记,渔业用海,围海养殖用海,"围海养殖"
45,2015-03-01,初始登记,渔业用海,围海养殖用海,"围海养殖"
46,2015-06-01,初始登记,渔业用海,围海养殖用海,"围海养殖"
47,2016-02-01,初始登记,渔业用海,围海养殖用海,"围海养殖"
48,2013-05-01,初始登记,渔业用海,围海养殖用海,"围海养殖"
49,2016-05-01,初始登记,渔业用海,围海养殖用海,"开放式养殖"
50,2015-04-01,变更登记,渔业用海,开放式养殖用海,"开放式养殖"
51,2015-06-01,变更登记,渔业用海,开放式养殖用海,"开放式养殖"
52,2014-05-01,初始登记,工业用海,电力工业用海,"非透水构筑物"
53,2013-04-01,初始登记,工业用海,电力工业用海,"非透水构筑物"
54,2015-06-01,初始登记,工业用海,电力工业用海,"非透水构筑物"
55,2014-02-01,初始登记,工业用海,电力工业用海,"非透水构筑物"
56,2016-06-01,初始登记,工业用海,电力工业用海,"非透水构筑物"
57,2015-05-01,初始登记,工业用海,电力工业用海,"非透水构筑物"
58,2016-06-01,初始登记,工业用海,电力工业用海,"非透水构筑物"
59,2014-05-01,初始登记,工业用海,电力工业用海,"非透水构筑物"
60,2015-05-01,初始登记,工业用海,电力工业用海,"非透水构筑物"
61,2011-06-01,初始登记,造地工程用海,城镇建设填海造地用海,"建设填海造地"
62,2014-03-01,初始登记,工业用海,电力工业用海,"非透水构筑物"
63,2013-06-01,初始登记,工业用海,电力工业用海,"非透水构筑物"
64,2012-04-01,初始登记,工业用海,电力工业用海,"非透水构筑物"
65,2010-06-01,初始登记,工业用海,电力工业用海,"非透水构筑物"
66,2014-05-01,初始登记,工业用海,电力工业用海,"非透水构筑物"
67,2016-04-01,初始登记,工业用海,电力工业用海,"非透水构筑物"
68,2014-06-01,初始登记,工业用海,电力工业用海,"非透水构筑物"
69,2014-06-01,初始登记,工业用海,电力工业用海,"非透水构筑物"
70,2013-04-01,初始登记,工业用海,电力工业用海,"非透水构筑物"
71,2015-04-01,初始登记,渔业用海,围海养殖用海,"围海养殖"
72,2012-06-01,初始登记,其它用海," ","透水构筑物"
73,2015-05-01,初始登记,渔业用海,渔业基础设施用海,"透水构筑物"
74,2013-04-01,初始登记,其它用海," ","透水构筑物"
75,2014-02-01,初始登记,造地工程用海,城镇建设填海造地用海,"建设填海造地"
76,2014-05-01,初始登记,造地工程用海,城镇建设填海造地用海,"建设填海造地"
77,2012-02-01,初始登记,渔业用海,开放式养殖用海,"开放式养殖"
78,2015-03-01,初始登记,工业用海,电力工业用海,"非透水构筑物"
79,2015-04-01,初始登记,工业用海,电力工业用海,"非透水构筑物"
80,2015-02-01,初始登记,工业用海,电力工业用海,"非透水构筑物"
81,2013-06-01,初始登记,造地工程用海,城镇建设填海造地用海,"建设填海造地"
82,2013-05-01,初始登记,工业用海,电力工业用海,"非透水构筑物"
83,2015-02-01,初始登记,工业用海,电力工业用海,"非透水构筑物"
84,2010-06-01,初始登记,渔业用海,开放式养殖用海,"开放式养殖"
85,2012-06-01,初始登记,工业用海,电力工业用海,"非透水构筑物"
86,2014-05-01,初始登记,造地工程用海,城镇建设填海造地用海,"建设填海造地"
87,2014-06-01,初始登记,工业用海,电力工业用海,"非透水构筑物"
88,2015-02-01,初始登记,工业用海,电力工业用海,"非透水构筑物"
89,2016-05-01,初始登记,工业用海,电力工业用海,"非透水构筑物"
90,2015-06-01,初始登记,工业用海,电力工业用海,"非透水构筑物"
91,2013-06-01,初始登记,工业用海,电力工业用海,"非透水构筑物"
92,2014-05-01,初始登记,工业用海,电力工业用海,"非透水构筑物"
93,2015-04-01,初始登记,工业用海,电力工业用海,"非透水构筑物"
94,2014-06-01,变更登记,渔业用海,开放式养殖用海,"开放式养殖"
95,2015-06-01,变更登记,渔业用海,开放式养殖用海,"开放式养殖"
96,2011-05-01,初始登记,渔业用海,围海养殖用海,"围海养殖"
97,2014-06-01,初始登记,渔业用海,围海养殖用海,"围海养殖"
98,2010-06-01,初始登记,渔业用海,围海养殖用海,"围海养殖"
99,2010-05-01,初始登记,渔业用海,围海养殖用海,"围海养殖"
100,2015-05-01,初始登记,渔业用海,围海养殖用海,"围海养殖"
101,2015-04-01,初始登记,工业用海,电力工业用海,"非透水构筑物"
102,2014-06-01,初始登记,造地工程用海,城镇建设填海造地用海,"建设填海造地"
103,2010-02-01,初始登记,工业用海,电力工业用海,"非透水构筑物"
104,2013-05-01,初始登记,工业用海,电力工业用海,"非透水构筑物"
105,2013-05-01,初始登记,工业用海,电力工业用海,"非透水构筑物"
106,2016-06-01,初始登记,工业用海,电力工业用海,"非透水构筑物"
107,2012-06-01,初始登记,工业用海,电力工业用海,"非透水构筑物"
108,2015-06-01,初始登记,造地工程用海,城镇建设填海造地用海,"建设填海造地"
109,2016-04-01,初始登记,工业用海,电力工业用海,"非透水构筑物"
110,2016-06-01,初始登记,造地工程用海,城镇建设填海造地用海,"建设填海造地"
111,2014-03-01,初始登记,工业用海,电力工业用海,"非透水构筑物"
112,2013-02-01,初始登记,工业用海,电力工业用海,"非透水构筑物"
113,2012-04-01,初始登记,工业用海,电力工业用海,"非透水构筑物"
114,2013-05-01,初始登记,造地工程用海,城镇建设填海造地用海,"建设填海造地"
115,2013-05-01,初始登记,造地工程用海,城镇建设填海造地用海,"建设填海造地"
116,2012-06-01,初始登记,工业用海,电力工业用海,"非透水构筑物"
117,2014-03-01,初始登记,工业用海,电力工业用海,"非透水构筑物"
118,2014-06-01,初始登记,渔业用海,围海养殖用海,"围海养殖"
119,2015-06-01,初始登记,渔业用海,围海养殖用海,"围海养殖"
120,2013-06-01,初始登记,渔业用海,围海养殖用海,"围海养殖"
121,2014-03-01,初始登记,工业用海,电力工业用海,"建设填海造地"
122,2014-06-01,初始登记,造地工程用海,城镇建设填海造地用海,"建设填海造地"
123,2014-05-01,初始登记,工业用海,电力工业用海,"非透水构筑物"
124,2010-04-01,初始登记,造地工程用海,城镇建设填海造地用海,"建设填海造地"
125,2012-05-01,初始登记,渔业用海,开放式养殖用海,"开放式养殖"
126,2015-06-01,初始登记,工业用海,电力工业用海,"非透水构筑物"
127,2012-06-01,初始登记,工业用海,电力工业用海,"非透水构筑物"
128,2015-06-01,初始登记,工业用海,电力工业用海,"非透水构筑物"
129,2015-06-01,初始登记,工业用海,电力工业用海,"非透水构筑物"
130,2010-05-01,初始登记,工业用海,电力工业用海,"非透水构筑物"
131,2012-05-01,初始登记,工业用海,电力工业用海,"非透水构筑物"
132,2016-02-01,初始登记,工业用海,电力工业用海,"非透水构筑物"
133,2012-04-01,初始登记,工业用海,电力工业用海,"非透水构筑物"
134,2016-04-01,初始登记,工业用海,电力工业用海,"非透水构筑物"
135,2013-06-01,初始登记,工业用海,电力工业用海,"非透水构筑物"
136,2016-06-01,初始登记,工业用海,电力工业用海,"非透水构筑物"
137,2013-03-01,初始登记,工业用海,电力工业用海,"非透水构筑物"
138,2015-06-01,初始登记,工业用海,电力工业用海,"非透水构筑物"
139,2012-06-01,初始登记,渔业用海,围海养殖用海,"围海养殖"
140,2015-06-01,初始登记,渔业用海,开放式养殖用海,"开放式养殖"
141,2014-02-01,初始登记,渔业用海,围海养殖用海,"围海养殖"
142,2014-06-01,初始登记,渔业用海,开放式养殖用海,"开放式养殖"
143,2015-03-01,初始登记,渔业用海,围海养殖用海,"围海养殖"
144,2012-06-01,初始登记,造地工程用海,城镇建设填海造地用海,"建设填海造地"
145,2010-06-01,初始登记,造地工程用海,城镇建设填海造地用海,"建设填海造地"
146,2012-04-01,初始登记,工业用海,电力工业用海,"非透水构筑物"
147,2013-04-01,初始登记,造地工程用海,城镇建设填海造地用海,"建设填海造地"
148,2011-06-01,初始登记,渔业用海,围海养殖用海,"开放式养殖"
149,2013-06-01,初始登记,工业用海,电力工业用海,"非透水构筑物"
150,2015-06-01,初始登记,工业用海,电力工业用海,"非透水构筑物"
151,2013-05-01,初始登记,工业用海,电力工业用海,"非透水构筑物"
