FID,配号来源,用海一级类,用海二级类,用海方式
0,初始登记,渔业用海,围海养殖用海,围海养殖
1,初始登记,渔业用海,开放式养殖用海,开放式养殖
2,初始登记,渔业用海,开放式养殖用海,开放式养殖
3,初始登记,渔业用海,开放式养殖用海,开放式养殖
4,初始登记,渔业用海,开放式养殖用海,开放式养殖
5,变更登记,渔业用海,开放式养殖用海,开放式养殖
6,变更登记,渔业用海,开放式养殖用海,开放式养殖
7,变更登记,渔业用海,开放式养殖用海,开放式养殖
8,变更登记,渔业用海,围海养殖用海,非透水构筑物
9,变更登记,渔业用海,围海养殖用海,围海养殖
10,变更登记,渔业用海,围海养殖用海,非透水构筑物
11,变更登记,渔业用海,围海养殖用海,非透水构筑物
12,变更登记,渔业用海,围海养殖用海,非透水构筑物
13,变更登记,渔业用海,开放式养殖用海,开放式养殖
14,初始登记,渔业用海,围海养殖用海,围海养殖
15,变更登记,渔业用海,开放式养殖用海,开放式养殖
16,变更登记,渔业用海,开放式养殖用海,开放式养殖
17,变更登记,渔业用海,开放式养殖用海,开放式养殖
18,变更登记,渔业用海,开放式养殖用海,开放式养殖
19,变更登记,渔业用海,开放式养殖用海,开放式养殖
20,变更登记,渔业用海,开放式养殖用海,开放式养殖
21,变更登记,渔业用海,开放式养殖用海,开放式养殖
22,变更登记,渔业用海,开放式养殖用海,开放式养殖
23,初始登记,渔业用海,围海养殖用海,围海养殖
24,变更登记,渔业用海,开放式养殖用海,开放式养殖
25,变更登记,渔业用海,开放式养殖用海,开放式养殖
26,变更登记,渔业用海,开放式养殖用海,开放式养殖
27,变更登记,渔业用海,开放式养殖用海,开放式养殖
28,初始登记,交通运输用海,港口用海,建设填海造地
29,初始登记,交通运输用海,港口用海,建设填海造地
30,初始登记,交通运输用海,港口用海,建设填海造地
31,初始登记,交通运输用海,港口用海,建设填海造地
32,变更登记,渔业用海,开放式养殖用海,开放式养殖
33,变更登记,渔业用海,开放式养殖用海,开放式养殖
34,初始登记,渔业用海,围海养殖用海,围海养殖
35,初始登记,渔业用海,围海养殖用海,非透水构筑物
36,初始登记,渔业用海,围海养殖用海,非透水构筑物
37,初始登记,渔业用海,围海养殖用海,非透水构筑物
38,初始登记,渔业用海,围海养殖用海,围海养殖
39,初始登记,渔业用海,围海养殖用海,围海养殖
40,初始登记,渔业用海,围海养殖用海,围海养殖
41,初始登记,渔业用海,围海养殖用海,围海养殖
42,初始登记,渔业用海,围海养殖用海,围海养殖
43,初始登记,渔业用海,围海养殖用海,围海养殖
44,初始登记,渔业用海,围海养殖用海,围海养殖
45,初始登记,渔业用海,围海养殖用海,围海养殖
46,初始登记,渔业用海,围海养殖用海,围海养殖
47,初始登记,渔业用海,围海养殖用海,围海养殖
48,初始登记,渔业用海,围海养殖用海,围海养殖
49,初始登记,渔业用海,围海养殖用海,开放式养殖
50,变更登记,渔业用海,开放式养殖用海,开放式养殖
51,变更登记,渔业用海,开放式养殖用海,开放式养殖
52,初始登记,工业用海,电力工业用海,非透水构筑物
53,初始登记,工业用海,电力工业用海,非透水构筑物
54,初始登记,工业用海,电力工业用海,非透水构筑物
55,初始登记,工业用海,电力工业用海,非透水构筑物
56,初始登记,工业用海,电力工业用海,非透水构筑物
57,初始登记,工业用海,电力工业用海,非透水构筑物
58,初始登记,工业用海,电力工业用海,非透水构筑物
59,初始登记,工业用海,电力工业用海,非透水构筑物
60,初始登记,工业用海,电力工业用海,非透水构筑物
61,初始登记,造地工程用海,城镇建设填海造地用海,建设填海造地
62,初始登记,工业用海,电力工业用海,非透水构筑物
63,初始登记,工业用海,电力工业用海,非透水构筑物
64,初始登记,工业用海,电力工业用海,非透水构筑物
65,初始登记,工业用海,电力工业用海,非透水构筑物
66,初始登记,工业用海,电力工业用海,非透水构筑物
67,初始登记,工业用海,电力工业用海,非透水构筑物
68,初始登记,工业用海,电力工业用海,非透水构筑物
69,初始登记,工业用海,电力工业用海,非透水构筑物
70,初始登记,工业用海,电力工业用海,非透水构筑物
71,初始登记,渔业用海,围海养殖用海,围海养殖
72,初始登记,其它用海, ,透水构筑物
73,初始登记,渔业用海,渔业基础设施用海,透水构筑物
74,初始登记,其它用海, ,透水构筑物
75,初始登记,造地工程用海,城镇建设填海造地用海,建设填海造地
76,初始登记,造地工程用海,城镇建设填海造地用海,建设填海造地
77,初始登记,渔业用海,开放式养殖用海,开放式养殖
78,初始登记,工业用海,电力工业用海,非透水构筑物
79,初始登记,工业用海,电力工业用海,非透水构筑物
80,初始登记,工业用海,电力工业用海,非透水构筑物
81,初始登记,造地工程用海,城镇建设填海造地用海,建设填海造地
82,初始登记,工业用海,电力工业用海,非透水构筑物
83,初始登记,工业用海,电力工业用海,非透水构筑物
84,初始登记,渔业用海,开放式养殖用海,开放式养殖
85,初始登记,工业用海,电力工业用海,非透水构筑物
86,初始登记,造地工程用海,城镇建设填海造地用海,建设填海造地
87,初始登记,工业用海,电力工业用海,非透水构筑物
88,初始登记,工业用海,电力工业用海,非透水构筑物
89,初始登记,工业用海,电力工业用海,非透水构筑物
90,初始登记,工业用海,电力工业用海,非透水构筑物
91,初始登记,工业用海,电力工业用海,非透水构筑物
92,初始登记,工业用海,电力工业用海,非透水构筑物
93,初始登记,工业用海,电力工业用海,非透水构筑物
94,变更登记,渔业用海,开放式养殖用海,开放式养殖
95,变更登记,渔业用海,开放式养殖用海,开放式养殖
96,初始登记,渔业用海,围海养殖用海,围海养殖
97,初始登记,渔业用海,围海养殖用海,围海养殖
98,初始登记,渔业用海,围海养殖用海,围海养殖
99,初始登记,渔业用海,围海养殖用海,围海养殖
100,初始登记,渔业用海,围海养殖用海,围海养殖
101,初始登记,工业用海,电力工业用海,非透水构筑物
102,初始登记,造地工程用海,城镇建设填海造地用海,建设填海造地
103,初始登记,工业用海,电力工业用海,非透水构筑物
104,初始登记,工业用海,电力工业用海,非透水构筑物
105,初始登记,工业用海,电力工业用海,非透水构筑物
106,初始登记,工业用海,电力工业用海,非透水构筑物
107,初始登记,工业用海,电力工业用海,非透水构筑物
108,初始登记,造地工程用海,城镇建设填海造地用海,建设填海造地
109,初始登记,工业用海,电力工业用海,非透水构筑物
110,初始登记,造地工程用海,城镇建设填海造地用海,建设填海造地
111,初始登记,工业用海,电力工业用海,非透水构筑物
112,初始登记,工业用海,电力工业用海,非透水构筑物
113,初始登记,工业用海,电力工业用海,非透水构筑物
114,初始登记,造地工程用海,城镇建设填海造地用海,建设填海造地
115,初始登记,造地工程用海,城镇建设填海造地用海,建设填海造地
116,初始登记,工业用海,电力工业用海,非透水构筑物
117,初始登记,工业用海,电力工业用海,非透水构筑物
118,初始登记,渔业用海,围海养殖用海,围海养殖
119,初始登记,渔业用海,围海养殖用海,围海养殖
120,初始登记,渔业用海,围海养殖用海,围海养殖
121,初始登记,工业用海,电力工业用海,建设填海造地
122,初始登记,造地工程用海,城镇建设填海造地用海,建设填海造地
