项目名称,id,确权区域ID,初始日期,项目进展情况,填海情况,填海超面积情况,海域使用上报情况,动态监测情况,违法情况,用海调整情况,调整上报情况,调整上报审批情况,确权发证情况,受益方上报情况,受益方上报审批情况,relevance
项目名称513,513,367,2011-04-01,竣工,填海,超面积,上报报警,已监测,合法,无调整,已上报,未通过,未发证,已上报,未通过,1.3128159046173096
项目名称1362,1362,974,2012-05-01,竣工,未填海,正常,上报报警,已监测,合法,无调整,已上报,未通过,未发证,已上报,未通过,1.3128159046173096
项目名称1393,1393,994,2014-05-01,竣工,填海,正常,上报报警,已监测,合法,有调整,已上报,未通过,未发证,已上报,未通过,1.3128159046173096
项目名称958,958,693,2012-06-01,竣工,填海,超面积,上报报警,已监测,合法,无调整,已上报,未通过,未发证,已上报,未通过,1.3128159046173096
项目名称977,977,705,2013-06-01,竣工,填海,正常,上报报警,已监测,合法,无调整,未上报,未通过,未发证,已上报,未通过,1.3128156661987305
项目名称257,257,180,2015-05-01,竣工,填海,超面积,上报报警,已监测,合法,无调整,已上报,已通过,未发证,已上报,未通过,1.1431589126586914
项目名称14,14,9,2016-03-01,开工,填海,正常,上报报警,已监测,合法,无调整,已上报,未通过,未发证,已上报,已通过,1.1431589126586914
项目名称45,45,32,2015-04-01,竣工,填海,超面积,上报报警,已监测,合法,无调整,已上报,已通过,未发证,已上报,未通过,1.1431589126586914
项目名称2351,2351,1717,2012-05-01,验收,未填海,超面积,上报报警,已监测,合法,无调整,已上报,已通过,未发证,已上报,未通过,1.1431589126586914
项目名称568,568,411,2015-02-01,竣工,填海,正常,上报报警,未监测,合法,无调整,已上报,未通过,未发证,已上报,已通过,1.1431589126586914
项目名称323,323,234,2012-02-01,竣工,填海,正常,上报报警,未监测,合法,无调整,已上报,已通过,未发证,已上报,未通过,1.1431589126586914
项目名称77,77,57,2016-05-01,竣工,填海,正常,上报报警,已监测,合法,无调整,已上报,未通过,未发证,已上报,已通过,1.1431589126586914
项目名称600,600,429,2015-04-01,验收,填海,正常,上报报警,已监测,合法,无调整,已上报,未通过,未发证,已上报,已通过,1.1431589126586914
项目名称2394,2394,1748,2012-05-01,竣工,未填海,正常,上报报警,已监测,合法,无调整,已上报,已通过,未发证,已上报,未通过,1.1431589126586914
项目名称1123,1123,805,2016-06-01,竣工,填海,超面积,上报报警,未监测,合法,有调整,已上报,已通过,未发证,已上报,未通过,1.1431589126586914
项目名称121,121,82,2014-03-01,开工,填海,正常,上报报警,已监测,合法,无调整,已上报,已通过,未发证,已上报,未通过,1.1431589126586914
项目名称1155,1155,826,2011-04-01,竣工,未填海,正常,上报报警,未监测,违法,无调整,已上报,已通过,未发证,已上报,未通过,1.1431589126586914
项目名称138,138,97,2013-03-01,开工,未填海,正常,上报报警,已监测,违法,无调整,已上报,未通过,未发证,已上报,已通过,1.1431589126586914
项目名称2191,2191,1604,2014-05-01,竣工,未填海,正常,上报报警,已监测,违法,有调整,已上报,已通过,未发证,已上报,未通过,1.1431589126586914
项目名称2194,2194,1606,2014-05-01,竣工,填海,正常,上报报警,未监测,合法,无调整,已上报,已通过,未发证,已上报,未通过,1.1431589126586914
项目名称1945,1945,1425,2010-02-01,竣工,填海,正常,上报报警,已监测,违法,有调整,已上报,已通过,未发证,已上报,未通过,1.1431589126586914
项目名称157,157,108,2015-05-01,竣工,填海,正常,上报报警,已监测,违法,无调整,已上报,未通过,未发证,已上报,已通过,1.1431589126586914
项目名称1693,1693,1215,2016-06-01,竣工,填海,正常,上报报警,未监测,合法,有调整,已上报,已通过,未发证,已上报,未通过,1.1431589126586914
项目名称1950,1950,1427,2015-03-01,竣工,未填海,超面积,上报报警,已监测,合法,有调整,已上报,已通过,未发证,已上报,未通过,1.1431589126586914
项目名称167,167,114,2012-05-01,竣工,填海,正常,上报报警,已监测,合法,无调整,已上报,已通过,未发证,已上报,未通过,1.1431589126586914
项目名称1981,1981,1443,2010-06-01,竣工,填海,正常,上报报警,已监测,合法,无调整,已上报,已通过,未发证,已上报,未通过,1.1431589126586914
项目名称710,710,507,2014-06-01,竣工,填海,超面积,上报报警,已监测,合法,无调整,已上报,已通过,未发证,已上报,未通过,1.1431589126586914
项目名称2502,2502,1836,2013-05-01,竣工,填海,正常,上报报警,未监测,合法,无调整,已上报,已通过,未发证,已上报,未通过,1.1431589126586914
项目名称2529,2529,1853,2015-04-01,竣工,填海,超面积,上报报警,已监测,合法,无调整,已上报,已通过,未发证,已上报,未通过,1.1431589126586914
项目名称1763,1763,1273,2015-04-01,竣工,未填海,正常,上报报警,已监测,合法,有调整,已上报,已通过,未发证,已上报,未通过,1.1431589126586914
项目名称2279,2279,1663,2015-06-01,竣工,未填海,正常,上报报警,已监测,违法,无调整,已上报,未通过,未发证,已上报,已通过,1.1431589126586914
项目名称2546,2546,1864,2015-05-01,开工,填海,正常,上报报警,已监测,合法,有调整,已上报,已通过,未发证,已上报,未通过,1.1431589126586914
项目名称503,503,358,2012-06-01,竣工,填海,正常,上报报警,已监测,合法,无调整,已上报,已通过,未发证,已上报,未通过,1.1431589126586914
项目名称1282,1282,918,2014-06-01,竣工,填海,正常,上报报警,已监测,合法,无调整,未上报,已通过,未发证,已上报,未通过,1.1431586742401123
项目名称1036,1036,748,2015-04-01,竣工,未填海,超面积,上报报警,已监测,合法,无调整,未上报,已通过,未发证,已上报,未通过,1.1431586742401123
项目名称100,100,70,2016-03-01,竣工,填海,正常,上报报警,未监测,合法,无调整,未上报,已通过,未发证,已上报,未通过,1.1431586742401123
项目名称127,127,88,2014-03-01,竣工,填海,正常,上报报警,未监测,合法,有调整,未上报,已通过,未发证,未上报,未通过,1.1431586742401123
项目名称1169,1169,835,2014-05-01,竣工,填海,正常,上报报警,已监测,合法,无调整,未上报,已通过,未发证,已上报,未通过,1.1431586742401123
项目名称1687,1687,1209,2013-03-01,开工,未填海,超面积,上报报警,已监测,合法,有调整,未上报,已通过,未发证,已上报,未通过,1.1431586742401123
项目名称937,937,678,2012-05-01,开工,填海,正常,上报报警,未监测,违法,无调整,已上报,已通过,未发证,未上报,未通过,1.1431586742401123
项目名称2265,2265,1653,2012-06-01,竣工,填海,正常,上报报警,已监测,合法,有调整,未上报,已通过,未发证,已上报,未通过,1.1431586742401123
项目名称1756,1756,1266,2011-04-01,开工,填海,超面积,上报报警,未监测,违法,有调整,未上报,未通过,未发证,已上报,已通过,1.1431586742401123
项目名称11,11,6,2011-06-01,开工,未填海,正常,上报报警,未监测,合法,无调整,已上报,未通过,已发证,已上报,未通过,1.0364036560058594
项目名称1877,1877,1365,2016-06-01,竣工,未填海,正常,上报报警,已监测,合法,无调整,已上报,未通过,已发证,已上报,未通过,1.0364036560058594
